Date,EUR-USD,XAG-USD
2021-03-11 00:00:00+00:00,0.00473814,-0.00389491
2021-03-12 00:00:00+00:00,-0.00229530,-0.00663191
2021-03-15 00:00:00+00:00,-0.00196653,0.00886760
2021-03-16 00:00:00+00:00,-0.00205425,-0.01103951
2021-03-17 00:00:00+00:00,0.00680558,0.01683086
2021-03-18 00:00:00+00:00,-0.00542435,-0.01268439
2021-03-19 00:00:00+00:00,-0.00117469,0.00839206
2021-03-22 00:00:00+00:00,0.00408112,-0.00305249
2021-03-23 00:00:00+00:00,-0.00775194,-0.02879678
2021-03-24 00:00:00+00:00,-0.00228041,0.00079813
2021-03-25 00:00:00+00:00,-0.00313214,0.00077756
2021-03-26 00:00:00+00:00,0.00144361,-0.00131485
2021-03-29 00:00:00+00:00,-0.00161188,-0.01446004
2021-03-30 00:00:00+00:00,-0.00382377,-0.02646671
2021-03-31 00:00:00+00:00,0.00029855,0.01731926
2021-04-01 00:00:00+00:00,0.00430630,0.02166929
2021-04-02 00:00:00+00:00,-0.00157079,NaN
2021-04-05 00:00:00+00:00,0.00420650,-0.00763664
2021-04-06 00:00:00+00:00,0.00482356,0.01396052
2021-04-07 00:00:00+00:00,-0.00012633,-0.00033775
2021-04-08 00:00:00+00:00,0.00362182,0.00983782
2021-04-09 00:00:00+00:00,-0.00117494,-0.00576647
2021-04-12 00:00:00+00:00,0.00134499,-0.01752163
2021-04-13 00:00:00+00:00,0.00352586,0.02210624
2021-04-14 00:00:00+00:00,0.00246779,0.00238560
2021-04-15 00:00:00+00:00,-0.00116827,0.01667912
2021-04-16 00:00:00+00:00,0.00125319,0.00483653
2021-04-19 00:00:00+00:00,0.00614086,-0.00295088
2021-04-20 00:00:00+00:00,-0.00083039,-0.00272748
2021-04-21 00:00:00+00:00,0.00041554,0.02882359
2021-04-22 00:00:00+00:00,-0.00191070,-0.01542203
2021-04-23 00:00:00+00:00,0.00686670,-0.00423185
2021-04-26 00:00:00+00:00,-0.00082716,0.00970706
2021-04-27 00:00:00+00:00,0.00082785,0.00082022
2021-04-28 00:00:00+00:00,0.00376360,0.00320195
2021-04-29 00:00:00+00:00,-0.00086527,-0.00818831
2021-04-30 00:00:00+00:00,-0.00853643,-0.00800690
2021-05-03 00:00:00+00:00,0.00261900,0.03941696
2021-05-04 00:00:00+00:00,-0.00369019,-0.01459976
2021-05-05 00:00:00+00:00,-0.00058263,-0.00145330
2021-05-06 00:00:00+00:00,0.00478867,0.03152762
2021-05-07 00:00:00+00:00,0.00845421,0.00553377
2021-05-10 00:00:00+00:00,-0.00246498,-0.01158839
2021-05-11 00:00:00+00:00,0.00028829,0.00870631
2021-05-12 00:00:00+00:00,-0.00543478,-0.01646449
2021-05-13 00:00:00+00:00,-0.00008280,-0.00261795
2021-05-14 00:00:00+00:00,0.00550633,0.01412226
2021-05-17 00:00:00+00:00,0.00053498,0.02792178
2021-05-18 00:00:00+00:00,0.00542919,-0.00336224
2021-05-19 00:00:00+00:00,-0.00425445,-0.01924716
2021-05-20 00:00:00+00:00,0.00447804,0.00329495
2021-05-21 00:00:00+00:00,-0.00368098,-0.00539536
2021-05-24 00:00:00+00:00,0.00279135,0.00424405
2021-05-25 00:00:00+00:00,0.00266077,0.01108904
2021-05-26 00:00:00+00:00,-0.00449090,-0.01087811
2021-05-27 00:00:00+00:00,0.00008202,0.00718736
2021-05-28 00:00:00+00:00,-0.00012302,0.00150611
2021-05-31 00:00:00+00:00,0.00352763,0.00508196
2021-06-01 00:00:00+00:00,-0.00122624,-0.00824313
2021-06-02 00:00:00+00:00,-0.00065480,0.01069922
2021-06-03 00:00:00+00:00,-0.00651132,-0.02534591
2021-06-04 00:00:00+00:00,0.00305029,0.01304807
2021-06-07 00:00:00+00:00,0.00197263,0.00527871
2021-06-08 00:00:00+00:00,-0.00147656,-0.00974928
2021-06-09 00:00:00+00:00,0.00049291,0.00700389
2021-06-10 00:00:00+00:00,-0.00045162,0.00514000
2021-06-11 00:00:00+00:00,-0.00529861,-0.00139465
2021-06-14 00:00:00+00:00,0.00103225,0.00131137
2021-06-15 00:00:00+00:00,0.00024748,-0.00660208
2021-06-16 00:00:00+00:00,-0.01068041,-0.01881818
2021-06-17 00:00:00+00:00,-0.00687758,-0.04205779
2021-06-18 00:00:00+00:00,-0.00428104,-0.00899222
2021-06-21 00:00:00+00:00,0.00349606,0.00162168
2021-06-22 00:00:00+00:00,0.00205675,-0.00645696
2021-06-23 00:00:00+00:00,-0.00058644,0.00362776
2021-06-24 00:00:00+00:00,-0.00012574,0.00268682
2021-06-25 00:00:00+00:00,0.00062877,0.00622675
2021-06-28 00:00:00+00:00,-0.00104677,-0.00066979
2021-06-29 00:00:00+00:00,-0.00238914,-0.01183455
2021-06-30 00:00:00+00:00,-0.00373934,0.01127863
2021-07-01 00:00:00+00:00,-0.00084345,-0.00331519
2021-07-02 00:00:00+00:00,0.00160392,0.01786161
2021-07-05 00:00:00+00:00,0.00054825,-0.00043491
2021-07-06 00:00:00+00:00,-0.00337197,-0.01201264
2021-07-07 00:00:00+00:00,-0.00249524,0.00111056
2021-07-08 00:00:00+00:00,0.00453659,-0.00833907
2021-07-09 00:00:00+00:00,0.00278563,0.00619117
2021-07-12 00:00:00+00:00,-0.00080017,0.00622629
2021-07-13 00:00:00+00:00,-0.00741802,-0.01090951
2021-07-14 00:00:00+00:00,0.00492569,0.00950914
2021-07-15 00:00:00+00:00,-0.00181695,0.00402334
2021-07-16 00:00:00+00:00,-0.00050798,-0.02518279
2021-07-19 00:00:00+00:00,-0.00173545,-0.02075391
2021-07-20 00:00:00+00:00,-0.00089043,-0.00818353
2021-07-21 00:00:00+00:00,0.00093367,0.01239661
2021-07-22 00:00:00+00:00,-0.00169599,0.00579601
2021-07-23 00:00:00+00:00,-0.00016989,-0.00973547
2021-07-26 00:00:00+00:00,0.00271808,-0.00047658
2021-07-27 00:00:00+00:00,0.00131300,-0.01720473
2021-07-28 00:00:00+00:00,0.00211497,0.01265439
2021-07-29 00:00:00+00:00,0.00379891,0.01916359
2021-07-30 00:00:00+00:00,-0.00185022,-0.00146900
2021-08-02 00:00:00+00:00,0.00063203,-0.00433206
2021-08-03 00:00:00+00:00,-0.00037898,0.00657558
2021-08-04 00:00:00+00:00,-0.00269599,-0.00747144
2021-08-05 00:00:00+00:00,-0.00033791,-0.00916328
2021-08-06 00:00:00+00:00,-0.00604217,-0.03184105
2021-08-09 00:00:00+00:00,-0.00097893,-0.00430733
2021-08-10 00:00:00+00:00,-0.00136333,-0.00586029
2021-08-11 00:00:00+00:00,0.00187713,0.00908877
2021-08-12 00:00:00+00:00,-0.00051099,-0.01380775
2021-08-13 00:00:00+00:00,0.00506987,0.02358643
2021-08-16 00:00:00+00:00,-0.00135662,0.00869510
2021-08-17 00:00:00+00:00,-0.00581593,-0.00981274
2021-08-18 00:00:00+00:00,-0.00055510,-0.00682500
2021-08-19 00:00:00+00:00,-0.00226438,-0.01191413
2021-08-20 00:00:00+00:00,0.00196977,-0.00846199
2021-08-23 00:00:00+00:00,0.00406087,0.02621454
2021-08-24 00:00:00+00:00,0.00072374,0.00951050
2021-08-25 00:00:00+00:00,0.00161661,0.00134285
2021-08-26 00:00:00+00:00,-0.00157153,-0.01125220
2021-08-27 00:00:00+00:00,0.00361594,0.01828893
2021-08-30 00:00:00+00:00,-0.00016951,-0.00217983
2021-08-31 00:00:00+00:00,0.00114441,-0.00524301
2021-09-01 00:00:00+00:00,0.00262489,0.01035305
2021-09-02 00:00:00+00:00,0.00278693,-0.01084729
2021-09-03 00:00:00+00:00,0.00071585,0.03488689
2021-09-06 00:00:00+00:00,-0.00100963,-0.00258643
2021-09-07 00:00:00+00:00,-0.00256875,-0.01420149
2021-09-08 00:00:00+00:00,-0.00202651,-0.01409782
2021-09-09 00:00:00+00:00,0.00033844,0.00275149
